Hyperparameters:
epochs=30, lr=0.001, betas=(0.9, 0.999), eps=1e-08, weight_decay=0.0001, seed=712
| Epoch | Train Loss | Train Err | Test Loss | Test Err | Time/s |
|     0 |    1.40925 |   0.49926 |   1.01905 |  0.35640 |   8.83 |
|     1 |    0.92809 |   0.32508 |   0.92493 |  0.31350 |   8.88 |
|     2 |    0.75200 |   0.26286 |   0.66427 |  0.22730 |   9.46 |
|     3 |    0.65411 |   0.22498 |   0.67783 |  0.23070 |   9.24 |
|     4 |    0.51337 |   0.17732 |   0.47510 |  0.16640 |   9.21 |
|     5 |    0.47606 |   0.16510 |   0.42902 |  0.14830 |   8.85 |
|     6 |    0.43989 |   0.15102 |   0.41688 |  0.14150 |   8.83 |
|     7 |    0.41956 |   0.14462 |   0.40268 |  0.13620 |   9.06 |
|     8 |    0.35373 |   0.12188 |   0.36037 |  0.12090 |   8.84 |
|     9 |    0.33486 |   0.11526 |   0.34817 |  0.11600 |   8.91 |
|    10 |    0.32107 |   0.11302 |   0.33745 |  0.11450 |   8.83 |
|    11 |    0.30968 |   0.10750 |   0.33759 |  0.11170 |   9.06 |
|    12 |    0.28208 |   0.09748 |   0.31801 |  0.10610 |   8.98 |
|    13 |    0.27235 |   0.09446 |   0.32201 |  0.10760 |   8.74 |
|    14 |    0.27096 |   0.09416 |   0.31988 |  0.10540 |   8.85 |
|    15 |    0.25984 |   0.08866 |   0.32213 |  0.10610 |   9.48 |
|    16 |    0.24591 |   0.08670 |   0.31377 |  0.10470 |   9.38 |
|    17 |    0.24805 |   0.08572 |   0.31336 |  0.10360 |   9.26 |
|    18 |    0.24637 |   0.08724 |   0.31218 |  0.10250 |   9.22 |
|    19 |    0.23972 |   0.08398 |   0.30915 |  0.10230 |   9.10 |
|    20 |    0.23715 |   0.08348 |   0.31864 |  0.10470 |   8.87 |
|    21 |    0.23189 |   0.08050 |   0.31325 |  0.10310 |   9.01 |
|    22 |    0.23605 |   0.08256 |   0.31049 |  0.10230 |   8.99 |
|    23 |    0.22948 |   0.08016 |   0.31187 |  0.10250 |   9.01 |
|    24 |    0.23033 |   0.08008 |   0.30976 |  0.10310 |   8.97 |
|    25 |    0.23018 |   0.08070 |   0.31209 |  0.10270 |   9.06 |
|    26 |    0.23087 |   0.08064 |   0.31435 |  0.10280 |   9.14 |
|    27 |    0.22989 |   0.07998 |   0.31235 |  0.10210 |   9.02 |
|    28 |    0.23051 |   0.08008 |   0.31420 |  0.10240 |   8.83 |
|    29 |    0.22890 |   0.08018 |   0.31030 |  0.10210 |   8.85 |
