Hyperparameters:
epochs=30, lr=0.001, betas=(0.9, 0.999), eps=1e-08, weight_decay=0.0001, seed=712
| Epoch | Train Loss | Train Err | Test Loss | Test Err | Time/s |
|     0 |    1.42723 |   0.50160 |   1.07285 |  0.36550 |  10.36 |
|     1 |    0.93507 |   0.32614 |   1.08887 |  0.34590 |   9.73 |
|     2 |    0.75764 |   0.26448 |   0.67156 |  0.23520 |   9.53 |
|     3 |    0.65498 |   0.22800 |   0.61556 |  0.20240 |  10.00 |
|     4 |    0.51480 |   0.17902 |   0.46979 |  0.16240 |   9.89 |
|     5 |    0.47396 |   0.16516 |   0.42961 |  0.14410 |   9.77 |
|     6 |    0.44314 |   0.15554 |   0.42506 |  0.14230 |   9.55 |
|     7 |    0.41716 |   0.14436 |   0.40938 |  0.13780 |   9.68 |
|     8 |    0.35110 |   0.12252 |   0.35496 |  0.11920 |   9.58 |
|     9 |    0.33651 |   0.11660 |   0.35408 |  0.11690 |   9.83 |
|    10 |    0.32061 |   0.11090 |   0.35093 |  0.11910 |   9.54 |
|    11 |    0.30699 |   0.10576 |   0.34827 |  0.11400 |   9.59 |
|    12 |    0.28063 |   0.09750 |   0.31908 |  0.10620 |   9.88 |
|    13 |    0.27473 |   0.09420 |   0.31614 |  0.10730 |   9.65 |
|    14 |    0.27264 |   0.09378 |   0.31394 |  0.10300 |   9.66 |
|    15 |    0.26404 |   0.09216 |   0.31449 |  0.10300 |   9.76 |
|    16 |    0.24952 |   0.08732 |   0.31189 |  0.10340 |   9.59 |
|    17 |    0.24876 |   0.08786 |   0.30699 |  0.10100 |   9.47 |
|    18 |    0.24563 |   0.08512 |   0.30750 |  0.10090 |   9.55 |
|    19 |    0.24364 |   0.08448 |   0.30588 |  0.10150 |   9.94 |
|    20 |    0.23962 |   0.08314 |   0.30730 |  0.10150 |   9.70 |
|    21 |    0.23661 |   0.08264 |   0.30460 |  0.09930 |   9.56 |
|    22 |    0.23900 |   0.08396 |   0.30261 |  0.09950 |   9.61 |
|    23 |    0.23468 |   0.08338 |   0.30240 |  0.09930 |   9.76 |
|    24 |    0.23225 |   0.08016 |   0.30455 |  0.10040 |   9.69 |
|    25 |    0.23636 |   0.08254 |   0.30384 |  0.10110 |   9.57 |
|    26 |    0.23176 |   0.08064 |   0.30795 |  0.10090 |   9.78 |
|    27 |    0.23326 |   0.08196 |   0.30377 |  0.09960 |   9.62 |
|    28 |    0.23140 |   0.08152 |   0.30472 |  0.09860 |   9.65 |
|    29 |    0.23262 |   0.08118 |   0.30266 |  0.09890 |   9.53 |
