Example image shape (HWC): (3, 64, 64)
Hyperparameters:
epochs=50, lr=0.001, betas=(0.9, 0.999), eps=1e-08, weight_decay=0.0001, seed=712
| Epoch | Train Loss | Train Err | Test Loss | Test Err | Time/s |
|     0 |    5.04082 |   0.97788 |   5.17741 |  0.96980 |  48.98 |
|     1 |    4.32146 |   0.92417 |   4.09192 |  0.90030 |  49.04 |
|     2 |    3.92051 |   0.87349 |   3.69379 |  0.84260 |  49.36 |
|     3 |    3.63918 |   0.82713 |   3.52792 |  0.81080 |  49.08 |
|     4 |    3.33442 |   0.77261 |   3.22152 |  0.75580 |  48.68 |
|     5 |    3.21855 |   0.75314 |   3.17012 |  0.74370 |  49.36 |
|     6 |    3.12827 |   0.73568 |   3.06020 |  0.72020 |  49.07 |
|     7 |    3.04458 |   0.71963 |   2.98608 |  0.70870 |  48.81 |
|     8 |    2.88452 |   0.68583 |   2.86323 |  0.68390 |  49.17 |
|     9 |    2.81171 |   0.67270 |   2.80492 |  0.66850 |  48.85 |
|    10 |    2.73723 |   0.65762 |   2.73416 |  0.65610 |  49.61 |
|    11 |    2.65410 |   0.64079 |   2.72131 |  0.64730 |  49.10 |
|    12 |    2.54479 |   0.61755 |   2.62957 |  0.62930 |  48.74 |
|    13 |    2.49958 |   0.60784 |   2.59801 |  0.62050 |  49.28 |
|    14 |    2.46791 |   0.60064 |   2.57219 |  0.61840 |  48.99 |
|    15 |    2.42616 |   0.59257 |   2.54414 |  0.61190 |  48.69 |
|    16 |    2.37076 |   0.58020 |   2.52734 |  0.60710 |  49.22 |
|    17 |    2.35187 |   0.57585 |   2.51490 |  0.60450 |  49.13 |
|    18 |    2.33305 |   0.57231 |   2.48897 |  0.59970 |  48.65 |
|    19 |    2.31644 |   0.56834 |   2.48206 |  0.59770 |  49.43 |
|    20 |    2.28827 |   0.56235 |   2.46863 |  0.59860 |  49.10 |
|    21 |    2.28445 |   0.56098 |   2.46070 |  0.59420 |  48.94 |
|    22 |    2.27084 |   0.55795 |   2.46502 |  0.59360 |  49.27 |
|    23 |    2.26836 |   0.55789 |   2.45641 |  0.59100 |  48.99 |
|    24 |    2.25801 |   0.55504 |   2.45237 |  0.58910 |  48.76 |
|    25 |    2.24927 |   0.55494 |   2.45185 |  0.59210 |  49.46 |
|    26 |    2.24840 |   0.55381 |   2.44623 |  0.58980 |  49.54 |
|    27 |    2.24701 |   0.55189 |   2.43989 |  0.59020 |  48.91 |
|    28 |    2.24382 |   0.55281 |   2.44248 |  0.58730 |  49.32 |
|    29 |    2.23851 |   0.55338 |   2.44078 |  0.58750 |  48.96 |
|    30 |    2.23665 |   0.55159 |   2.44152 |  0.58760 |  49.02 |
|    31 |    2.23658 |   0.55030 |   2.44117 |  0.58800 |  49.52 |
|    32 |    2.23521 |   0.55141 |   2.44034 |  0.58860 |  49.20 |
|    33 |    2.23429 |   0.55017 |   2.43865 |  0.58710 |  49.19 |
|    34 |    2.23113 |   0.55162 |   2.44141 |  0.58940 |  48.67 |
|    35 |    2.23449 |   0.55108 |   2.43680 |  0.58630 |  49.42 |
|    36 |    2.23411 |   0.55106 |   2.43656 |  0.58670 |  49.23 |
|    37 |    2.23256 |   0.55031 |   2.44107 |  0.58630 |  49.18 |
|    38 |    2.23438 |   0.54991 |   2.43984 |  0.58690 |  48.91 |
|    39 |    2.23215 |   0.54822 |   2.43715 |  0.58790 |  48.87 |
|    40 |    2.22755 |   0.54811 |   2.43595 |  0.58710 |  48.92 |
|    41 |    2.22970 |   0.54817 |   2.43798 |  0.58710 |  49.26 |
|    42 |    2.22973 |   0.54773 |   2.43820 |  0.58850 |  49.19 |
|    43 |    2.22923 |   0.54959 |   2.43553 |  0.58870 |  49.11 |
|    44 |    2.22963 |   0.55047 |   2.43612 |  0.58740 |  48.78 |
|    45 |    2.23397 |   0.55087 |   2.43513 |  0.58730 |  49.05 |
|    46 |    2.22869 |   0.54916 |   2.44276 |  0.58880 |  48.94 |
|    47 |    2.23079 |   0.54925 |   2.43694 |  0.58870 |  48.83 |
|    48 |    2.23624 |   0.55170 |   2.43790 |  0.58960 |  48.93 |
|    49 |    2.23188 |   0.55015 |   2.43745 |  0.58740 |  48.57 |
