Hyperparameters:
epochs=50, lr=0.001, betas=(0.9, 0.999), eps=1e-08, weight_decay=0.0001, seed=712
| Epoch | Train Loss | Train Err | Test Loss | Test Err | Time/s |
|     0 |    4.98126 |   0.97609 |   5.04692 |  0.96420 |  31.46 |
|     1 |    4.26423 |   0.91961 |   4.10558 |  0.89990 |  30.07 |
|     2 |    3.84480 |   0.86151 |   3.61920 |  0.82920 |  29.62 |
|     3 |    3.59410 |   0.82065 |   3.51637 |  0.80300 |  30.04 |
|     4 |    3.29833 |   0.76613 |   3.19097 |  0.75270 |  29.80 |
|     5 |    3.18568 |   0.74666 |   3.17208 |  0.74360 |  30.12 |
|     6 |    3.09561 |   0.72631 |   3.03442 |  0.71850 |  29.76 |
|     7 |    3.01463 |   0.71302 |   3.02275 |  0.71490 |  29.75 |
|     8 |    2.84410 |   0.67819 |   2.82688 |  0.67600 |  30.07 |
|     9 |    2.75861 |   0.66198 |   2.75776 |  0.65980 |  30.37 |
|    10 |    2.67931 |   0.64539 |   2.72974 |  0.64940 |  30.05 |
|    11 |    2.59551 |   0.62754 |   2.67808 |  0.63820 |  30.59 |
|    12 |    2.48042 |   0.60330 |   2.57684 |  0.61460 |  30.00 |
|    13 |    2.43416 |   0.59320 |   2.56034 |  0.61300 |  30.24 |
|    14 |    2.39982 |   0.58625 |   2.51639 |  0.60170 |  30.36 |
|    15 |    2.36021 |   0.57847 |   2.49969 |  0.60200 |  30.39 |
|    16 |    2.30127 |   0.56638 |   2.47651 |  0.59500 |  29.93 |
|    17 |    2.28029 |   0.56283 |   2.46528 |  0.59180 |  29.93 |
|    18 |    2.26109 |   0.55655 |   2.43708 |  0.58890 |  30.22 |
|    19 |    2.24401 |   0.55400 |   2.43254 |  0.58530 |  29.69 |
|    20 |    2.21663 |   0.54721 |   2.41847 |  0.58150 |  30.41 |
|    21 |    2.21251 |   0.54574 |   2.41219 |  0.57880 |  31.13 |
|    22 |    2.20076 |   0.54285 |   2.41417 |  0.57810 |  30.56 |
|    23 |    2.19694 |   0.54306 |   2.40707 |  0.57960 |  30.80 |
|    24 |    2.18214 |   0.53919 |   2.40404 |  0.57910 |  29.83 |
|    25 |    2.17948 |   0.53844 |   2.40456 |  0.57880 |  30.50 |
|    26 |    2.17459 |   0.53910 |   2.39934 |  0.57580 |  29.93 |
|    27 |    2.17306 |   0.53678 |   2.39128 |  0.57770 |  30.21 |
|    28 |    2.16881 |   0.53820 |   2.39393 |  0.57540 |  30.08 |
|    29 |    2.16901 |   0.53654 |   2.39151 |  0.57550 |  30.32 |
|    30 |    2.16501 |   0.53615 |   2.39547 |  0.57450 |  30.68 |
|    31 |    2.16255 |   0.53516 |   2.39235 |  0.57690 |  30.24 |
|    32 |    2.16422 |   0.53534 |   2.39104 |  0.57400 |  30.35 |
|    33 |    2.16271 |   0.53592 |   2.39162 |  0.57500 |  30.32 |
|    34 |    2.15864 |   0.53498 |   2.39223 |  0.57600 |  30.79 |
|    35 |    2.15788 |   0.53558 |   2.38829 |  0.57590 |  30.74 |
|    36 |    2.16229 |   0.53479 |   2.38858 |  0.57480 |  30.95 |
|    37 |    2.15602 |   0.53412 |   2.39185 |  0.57520 |  29.80 |
|    38 |    2.16078 |   0.53540 |   2.39213 |  0.57340 |  30.26 |
|    39 |    2.15544 |   0.53209 |   2.39100 |  0.57560 |  30.10 |
|    40 |    2.15513 |   0.53562 |   2.38723 |  0.57370 |  30.20 |
|    41 |    2.15863 |   0.53367 |   2.39155 |  0.57380 |  29.88 |
|    42 |    2.15681 |   0.53364 |   2.39247 |  0.57560 |  29.65 |
|    43 |    2.15869 |   0.53447 |   2.38842 |  0.57530 |  29.72 |
|    44 |    2.15680 |   0.53478 |   2.38875 |  0.57540 |  29.61 |
|    45 |    2.15983 |   0.53530 |   2.38673 |  0.57310 |  29.50 |
|    46 |    2.15797 |   0.53545 |   2.39514 |  0.57360 |  30.27 |
|    47 |    2.15800 |   0.53483 |   2.38876 |  0.57350 |  30.99 |
|    48 |    2.16050 |   0.53541 |   2.39043 |  0.57330 |  31.76 |
|    49 |    2.15805 |   0.53582 |   2.38957 |  0.57330 |  29.62 |
