Hyperparameters:
epochs=50, lr=0.001, betas=(0.9, 0.999), eps=1e-08, weight_decay=0.0001, seed=712
| Epoch | Train Loss | Train Err | Test Loss | Test Err | Time/s |
|     0 |    5.27207 |   0.99249 |   5.23472 |  0.99120 |  30.71 |
|     1 |    5.15124 |   0.99065 |   5.11326 |  0.98880 |  29.46 |
|     2 |    5.10762 |   0.99011 |   5.09023 |  0.98930 |  30.04 |
|     3 |    5.04913 |   0.98793 |   4.95780 |  0.98250 |  30.80 |
|     4 |    4.78237 |   0.97393 |   4.68147 |  0.96740 |  30.00 |
|     5 |    4.65171 |   0.96311 |   4.55811 |  0.95290 |  30.13 |
|     6 |    4.46709 |   0.94677 |   4.36613 |  0.93540 |  29.48 |
|     7 |    4.31743 |   0.93229 |   4.14930 |  0.90980 |  29.89 |
|     8 |    4.06613 |   0.89752 |   3.90856 |  0.87720 |  30.03 |
|     9 |    3.88259 |   0.87089 |   3.69473 |  0.83840 |  30.05 |
|    10 |    3.67946 |   0.83568 |   3.53681 |  0.81160 |  30.12 |
|    11 |    3.51781 |   0.80564 |   3.41894 |  0.78810 |  29.23 |
|    12 |    3.37109 |   0.77882 |   3.27412 |  0.76720 |  29.62 |
|    13 |    3.30302 |   0.76801 |   3.22768 |  0.75970 |  29.83 |
|    14 |    3.24796 |   0.75648 |   3.16004 |  0.73890 |  30.32 |
|    15 |    3.18328 |   0.74376 |   3.11567 |  0.73010 |  30.18 |
|    16 |    3.11153 |   0.72994 |   3.07530 |  0.72100 |  29.65 |
|    17 |    3.08086 |   0.72238 |   3.04151 |  0.71300 |  30.35 |
|    18 |    3.05526 |   0.71844 |   3.01806 |  0.71080 |  29.90 |
|    19 |    3.02664 |   0.71249 |   2.99066 |  0.69910 |  29.56 |
|    20 |    2.99250 |   0.70545 |   2.98375 |  0.70320 |  29.63 |
|    21 |    2.98645 |   0.70505 |   2.97301 |  0.69730 |  29.87 |
|    22 |    2.97240 |   0.70247 |   2.95737 |  0.69270 |  29.43 |
|    23 |    2.96547 |   0.70048 |   2.94822 |  0.69440 |  30.02 |
|    24 |    2.94786 |   0.69624 |   2.94274 |  0.69250 |  29.75 |
|    25 |    2.94638 |   0.69610 |   2.95090 |  0.69370 |  30.27 |
|    26 |    2.93935 |   0.69547 |   2.93421 |  0.69340 |  30.42 |
|    27 |    2.93908 |   0.69573 |   2.93875 |  0.68950 |  29.64 |
|    28 |    2.92870 |   0.69410 |   2.92807 |  0.68900 |  29.95 |
|    29 |    2.92934 |   0.69253 |   2.93331 |  0.68920 |  29.88 |
|    30 |    2.92392 |   0.69309 |   2.92699 |  0.68940 |  29.50 |
|    31 |    2.92488 |   0.69245 |   2.93168 |  0.69470 |  31.01 |
|    32 |    2.92079 |   0.69255 |   2.93023 |  0.69140 |  30.92 |
|    33 |    2.91989 |   0.69055 |   2.92191 |  0.69070 |  29.80 |
|    34 |    2.91882 |   0.69130 |   2.91982 |  0.68540 |  29.79 |
|    35 |    2.92133 |   0.69204 |   2.91630 |  0.68840 |  29.93 |
|    36 |    2.91635 |   0.68962 |   2.91569 |  0.68600 |  30.06 |
|    37 |    2.91693 |   0.69050 |   2.91624 |  0.68580 |  29.87 |
|    38 |    2.91876 |   0.69031 |   2.92094 |  0.68700 |  30.31 |
|    39 |    2.91517 |   0.69144 |   2.90900 |  0.68530 |  29.82 |
|    40 |    2.91265 |   0.69113 |   2.92357 |  0.68420 |  29.72 |
|    41 |    2.91813 |   0.69045 |   2.91865 |  0.69330 |  29.74 |
|    42 |    2.91657 |   0.68937 |   2.91839 |  0.68750 |  29.69 |
|    43 |    2.91709 |   0.69051 |   2.92426 |  0.68490 |  30.16 |
|    44 |    2.91586 |   0.69044 |   2.91760 |  0.68610 |  29.96 |
|    45 |    2.91415 |   0.68937 |   2.91864 |  0.68680 |  29.91 |
|    46 |    2.91633 |   0.69055 |   2.91582 |  0.68670 |  30.17 |
|    47 |    2.91674 |   0.68993 |   2.91329 |  0.68790 |  30.02 |
|    48 |    2.91790 |   0.69016 |   2.91458 |  0.68650 |  30.08 |
|    49 |    2.91628 |   0.69118 |   2.92172 |  0.68810 |  29.86 |
